Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2019-01-02 00:00:00+00:00,51.36000061035156,53.03950119018555,51.263999938964844,52.73400115966797,52.67354965209961,31868000,73.26000213623047,77.66799926757812,73.04650115966797,76.95649719238281,76.95649719238281,159662000
